"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 08 14:52:27 GST 2024","Sat Jun 08 14:52:32 GST 2024","4337","chromium","usePageObjects.spec.ts","","","","Parameterised Method",""
"passed","Sat Jun 08 14:52:21 GST 2024","Sat Jun 08 14:52:27 GST 2024","6315","chromium","usePageObjects.spec.ts","","","","Navigate to Forms page",""
